Date,Open,High,Low,Close,SMAVG (200) on Close,SMAVG (50) on Close,SMAVG (100) on Close
27/10/2016 13:30,1270.11,1270.51,1269.69,1270.13,1268.02,1268.21,1270.69
27/10/2016 13:00,1270.02,1270.43,1269.69,1270.11,1267.99,1268.3,1270.69
27/10/2016 12:30,1269.13,1270.76,1269.02,1270.02,1267.96,1268.38,1270.67
27/10/2016 12:00,1268.44,1269.56,1268.22,1269.13,1267.92,1268.46,1270.65
27/10/2016 11:30,1269.22,1269.54,1268.15,1268.44,1267.89,1268.56,1270.64
27/10/2016 11:00,1269.34,1269.57,1268.93,1269.23,1267.85,1268.7,1270.62
27/10/2016 10:30,1269.05,1269.38,1268.43,1269.34,1267.82,1268.83,1270.6
27/10/2016 10:00,1268.55,1269.07,1267.81,1269.05,1267.79,1268.94,1270.57
27/10/2016 09:30,1268.31,1268.91,1268.2,1268.55,1267.76,1269.04,1270.54
27/10/2016 09:00,1268.54,1269.02,1268.3,1268.31,1267.74,1269.14,1270.52
27/10/2016 08:30,1267.98,1268.55,1267.78,1268.54,1267.72,1269.28,1270.5
27/10/2016 08:00,1267.47,1268.09,1267.36,1267.98,1267.71,1269.42,1270.47
27/10/2016 07:30,1266.51,1267.49,1266.5,1267.47,1267.69,1269.57,1270.44
27/10/2016 07:00,1266.58,1266.72,1265.81,1266.51,1267.68,1269.72,1270.41
27/10/2016 06:30,1266.42,1267.31,1266.3,1266.58,1267.68,1269.9,1270.39
27/10/2016 06:00,1266.59,1266.8,1265.98,1266.41,1267.68,1270.09,1270.38
27/10/2016 05:30,1267.24,1267.26,1265.8,1266.59,1267.68,1270.27,1270.36
27/10/2016 05:00,1266.64,1267.57,1266.2,1267.24,1267.67,1270.43,1270.32
27/10/2016 04:30,1265.95,1267.03,1265.78,1266.64,1267.67,1270.58,1270.28
27/10/2016 04:00,1266.04,1266.8,1265.19,1265.95,1267.66,1270.76,1270.25
27/10/2016 03:30,1266.1,1266.29,1265.71,1266.03,1267.66,1270.92,1270.23
27/10/2016 03:00,1266.58,1266.58,1265.05,1266.07,1267.66,1271.09,1270.21
27/10/2016 02:30,1265.79,1267.08,1265.72,1266.6,1267.66,1271.27,1270.19
27/10/2016 02:00,1265.96,1266.22,1265.58,1265.79,1267.66,1271.42,1270.18
27/10/2016 01:30,1266.16,1266.42,1265.64,1265.97,1267.67,1271.6,1270.16
27/10/2016 01:00,1267.12,1267.13,1265.98,1266.16,1267.67,1271.76,1270.15
27/10/2016 00:30,1266.96,1266.96,1266.96,1266.96,1267.67,1271.93,1270.13
27/10/2016 00:00,1267.1,1267.1,1266.9,1267.01,1267.67,1272.06,1270.1
